emp_no,dept_no,from_date,to_date
11888,d001,1994-11-28,9999-01-01
11901,d001,1992-08-01,9999-01-01
11904,d001,1998-05-12,9999-01-01
11925,d001,1998-10-25,9999-01-01
11935,d001,1997-07-20,2000-08-22
11953,d001,1996-03-21,9999-01-01
11972,d001,1994-04-25,9999-01-01
11994,d001,1993-11-11,9999-01-01
12003,d001,1992-11-20,9999-01-01
12025,d001,1985-02-28,1990-06-09
12040,d001,1998-09-28,9999-01-01
12046,d001,1996-03-12,1998-09-26
12057,d001,1990-09-22,9999-01-01
12061,d001,1988-04-14,9999-01-01
12081,d001,1999-12-04,9999-01-01
12098,d001,2002-07-04,9999-01-01
12118,d001,1994-12-03,9999-01-01
12127,d001,1989-01-22,9999-01-01
12130,d001,1989-10-23,9999-01-01
12133,d001,1991-07-20,1993-03-03
12151,d001,1990-04-16,9999-01-01
12170,d001,2000-05-04,9999-01-01
12171,d001,1997-01-12,9999-01-01
12175,d001,1994-09-01,9999-01-01
12178,d001,1998-12-30,9999-01-01
12181,d001,1988-06-12,1994-04-06
12187,d001,1998-09-22,9999-01-01
12214,d001,1989-03-12,9999-01-01
12288,d001,1990-05-08,9999-01-01
12331,d001,1996-10-16,9999-01-01
12347,d001,1986-03-23,9999-01-01
12368,d001,1992-06-14,9999-01-01
12374,d001,1996-03-31,9999-01-01
12380,d001,1991-09-14,1991-09-15
12382,d001,1991-12-20,9999-01-01
12418,d001,1996-05-08,9999-01-01
12430,d001,1993-01-30,9999-01-01
12462,d001,1999-11-23,9999-01-01
12471,d001,1995-07-13,9999-01-01
12473,d001,1996-08-15,9999-01-01
12478,d001,1997-09-05,1998-12-11
12494,d001,1998-08-02,9999-01-01
12495,d001,1999-12-13,9999-01-01
12536,d001,1998-11-23,9999-01-01
12537,d001,1995-06-21,9999-01-01
12546,d001,1988-06-05,9999-01-01
12562,d001,1997-06-24,9999-01-01
12606,d001,1999-03-13,1999-08-28
12614,d001,1997-06-05,1998-03-10
12618,d001,1994-06-03,9999-01-01
12623,d001,1991-11-04,9999-01-01
12642,d001,1996-10-28,9999-01-01
12677,d001,1996-02-15,9999-01-01
12680,d001,1995-11-12,9999-01-01
12741,d001,1994-12-19,1998-08-19
12803,d001,1999-08-30,9999-01-01
12809,d001,1986-12-03,1990-04-19
12822,d001,1987-06-06,9999-01-01
12844,d001,1989-11-20,2001-08-30
12850,d001,1991-03-28,9999-01-01
12903,d001,1992-09-28,9999-01-01
12906,d001,1994-12-23,9999-01-01
12937,d001,1991-10-27,1992-12-14
12938,d001,1991-04-21,9999-01-01
12946,d001,1998-10-07,1999-02-25
12951,d001,1988-06-26,1994-07-27
12973,d001,1987-02-04,9999-01-01
13015,d001,1997-02-15,9999-01-01
13020,d001,1987-07-06,9999-01-01
13030,d001,1993-11-25,9999-01-01
13041,d001,1996-09-17,9999-01-01
13050,d001,1993-05-02,9999-01-01
13058,d001,1993-07-05,2001-07-05
13063,d001,1994-01-02,9999-01-01
13075,d001,1990-09-02,9999-01-01
13078,d001,1991-01-01,9999-01-01
13088,d001,1998-03-30,9999-01-01
13092,d001,1994-05-16,9999-01-01
13108,d001,1989-12-14,9999-01-01
13112,d001,1993-06-05,9999-01-01
13129,d001,1997-11-17,9999-01-01
13138,d001,1985-08-27,1994-07-31
13157,d001,1999-04-10,9999-01-01
13196,d001,1994-12-11,9999-01-01
13201,d001,2000-01-20,9999-01-01
13210,d001,1997-08-10,9999-01-01
13225,d001,1992-01-11,9999-01-01
13228,d001,1993-05-22,9999-01-01
13289,d001,1987-09-24,9999-01-01
13299,d001,1997-03-08,1998-09-13
13300,d001,1987-06-17,9999-01-01
13304,d001,1991-01-23,9999-01-01
13341,d001,1986-03-11,9999-01-01
13348,d001,1989-08-06,9999-01-01
13364,d001,1994-03-19,9999-01-01
13394,d001,1995-03-06,9999-01-01
13411,d001,1995-04-28,9999-01-01
13412,d001,1999-01-18,9999-01-01
13448,d001,1999-12-28,9999-01-01
13470,d001,1993-09-09,2002-02-23
13487,d001,1987-03-08,9999-01-01
13490,d001,1992-07-31,1994-04-12
13495,d001,1999-02-09,9999-01-01
13522,d001,1997-06-01,9999-01-01
13528,d001,2002-02-03,9999-01-01
13554,d001,1993-07-04,9999-01-01
13569,d001,1999-01-22,9999-01-01
13572,d001,1986-09-15,9999-01-01
13584,d001,1993-10-07,9999-01-01
13594,d001,1999-08-06,9999-01-01
13611,d001,1995-07-07,9999-01-01
13615,d001,1986-07-14,9999-01-01
13625,d001,1990-04-20,9999-01-01
13642,d001,1992-03-04,9999-01-01
13668,d001,1991-12-11,1992-09-09
13682,d001,2000-01-09,9999-01-01
13695,d001,1985-07-02,9999-01-01
13717,d001,1995-12-21,9999-01-01
13730,d001,1991-07-20,9999-01-01
13733,d001,1994-10-29,1997-10-26
13751,d001,1997-01-13,9999-01-01
13776,d001,1995-03-20,9999-01-01
13782,d001,1992-04-15,9999-01-01
13804,d001,1995-01-31,9999-01-01
13812,d001,1998-04-22,9999-01-01
13822,d001,2002-03-28,2002-05-22
13826,d001,1988-06-24,9999-01-01
13844,d001,1995-06-28,9999-01-01
13860,d001,1988-07-27,9999-01-01
13909,d001,1995-05-22,1995-09-08
13911,d001,1993-11-24,9999-01-01
13921,d001,1997-01-03,2000-02-18
13926,d001,1988-08-07,9999-01-01
13963,d001,1990-08-05,9999-01-01
13973,d001,1989-11-19,1993-06-10
13982,d001,1986-05-31,9999-01-01
13984,d001,1998-09-28,2002-01-06
14013,d001,1993-12-06,1999-08-25
14017,d001,1992-12-07,9999-01-01
14041,d001,1987-12-22,9999-01-01
14071,d001,2001-11-19,9999-01-01
14096,d001,1993-11-12,9999-01-01
14107,d001,1991-12-15,9999-01-01
14108,d001,1996-06-21,2000-06-21
14110,d001,1987-05-17,9999-01-01
14112,d001,1999-11-26,9999-01-01
14130,d001,1997-02-17,9999-01-01
14137,d001,1989-12-17,9999-01-01
14177,d001,1996-03-16,9999-01-01
14185,d001,1988-08-01,9999-01-01
14189,d001,1997-09-05,9999-01-01
14200,d001,1998-02-15,9999-01-01
14210,d001,1993-06-10,9999-01-01
14222,d001,1988-05-24,9999-01-01
14239,d001,1989-10-16,9999-01-01
14269,d001,1998-03-31,9999-01-01
14280,d001,1999-09-21,9999-01-01
14283,d001,1996-11-26,9999-01-01
14299,d001,1986-08-05,9999-01-01
14300,d001,1995-09-15,2001-02-15
14314,d001,1986-07-24,9999-01-01
14315,d001,1999-09-03,1999-09-24
14333,d001,1992-03-09,2000-12-28
14336,d001,1999-07-18,9999-01-01
14388,d001,1989-01-07,9999-01-01
14399,d001,1991-06-15,9999-01-01
14403,d001,1992-07-01,9999-01-01
14455,d001,1990-12-31,9999-01-01
14475,d001,1997-03-31,1997-08-27
14479,d001,1991-11-27,9999-01-01
14489,d001,1998-12-02,9999-01-01
14497,d001,1997-11-08,9999-01-01
14507,d001,1991-07-01,9999-01-01
14513,d001,1991-02-04,9999-01-01
14547,d001,1993-12-16,9999-01-01
14550,d001,1999-07-24,9999-01-01
14554,d001,1985-02-19,9999-01-01
14570,d001,1994-11-17,9999-01-01
14637,d001,1992-01-26,9999-01-01
14652,d001,1991-11-14,9999-01-01
14655,d001,1987-06-03,2002-04-09
14660,d001,1995-07-21,9999-01-01
14680,d001,1990-08-04,1995-12-24
14688,d001,1985-07-06,1985-08-08
14710,d001,1988-09-18,9999-01-01
14727,d001,1996-04-07,9999-01-01
14748,d001,1996-06-09,9999-01-01
14766,d001,1992-11-30,9999-01-01
14767,d001,1993-01-28,1993-05-29
14796,d001,1995-10-28,9999-01-01
14820,d001,1991-09-10,9999-01-01
14836,d001,1995-05-20,9999-01-01
14881,d001,1995-04-11,9999-01-01
14883,d001,1999-04-08,2002-04-01
14887,d001,1995-02-10,9999-01-01
14916,d001,2000-07-15,9999-01-01
14922,d001,1989-12-03,9999-01-01
14935,d001,1996-02-21,9999-01-01
14958,d001,1995-12-02,9999-01-01
14983,d001,1988-12-26,9999-01-01
15018,d001,1993-03-11,9999-01-01
15091,d001,1994-10-30,9999-01-01
15094,d001,1998-05-28,9999-01-01
15095,d001,2001-05-30,9999-01-01
15105,d001,1991-03-31,9999-01-01
15128,d001,1990-11-11,9999-01-01
15131,d001,1993-03-04,9999-01-01
15151,d001,2000-06-02,9999-01-01
15157,d001,1986-03-05,9999-01-01
15171,d001,1996-03-05,9999-01-01
15174,d001,1993-04-22,1993-05-17
15183,d001,1996-01-31,9999-01-01
15216,d001,1990-06-24,9999-01-01
15217,d001,1987-09-21,9999-01-01
15242,d001,2000-06-03,9999-01-01
15247,d001,1994-09-14,9999-01-01
15248,d001,1990-03-22,9999-01-01
15279,d001,1998-07-09,9999-01-01
15310,d001,1997-11-09,9999-01-01
15338,d001,1992-10-14,2000-06-28
15350,d001,1990-03-23,1990-11-28
15360,d001,1998-02-04,9999-01-01
15373,d001,1996-10-24,9999-01-01
15386,d001,1999-02-01,1999-06-18
15410,d001,2002-04-15,9999-01-01
15416,d001,1986-02-28,9999-01-01
15473,d001,1995-07-09,9999-01-01
15481,d001,1993-08-23,9999-01-01
15483,d001,1993-09-24,1993-10-18
15544,d001,1993-05-16,9999-01-01
15549,d001,1999-01-24,9999-01-01
15558,d001,1994-10-03,9999-01-01
15565,d001,1986-12-16,9999-01-01
15580,d001,1986-06-07,9999-01-01
15593,d001,1996-09-01,9999-01-01
15602,d001,1990-07-27,9999-01-01
15629,d001,1990-12-07,9999-01-01
15633,d001,1997-08-20,1997-12-13
15635,d001,1997-05-17,9999-01-01
15645,d001,1992-04-30,9999-01-01
15653,d001,1999-11-07,2000-08-01
15655,d001,1985-03-02,1995-12-15
15656,d001,1987-05-26,9999-01-01
15658,d001,1989-09-17,9999-01-01
15667,d001,1996-04-11,9999-01-01
15701,d001,1986-12-28,9999-01-01
15715,d001,2002-01-15,9999-01-01
15717,d001,1992-12-10,9999-01-01
15726,d001,1996-08-28,9999-01-01
15759,d001,1990-12-05,9999-01-01
15769,d001,1999-06-20,9999-01-01
15775,d001,1989-11-17,9999-01-01
15784,d001,1987-10-31,9999-01-01
15789,d001,2000-01-30,9999-01-01
15793,d001,1996-03-24,9999-01-01
15819,d001,1999-07-14,9999-01-01
15859,d001,1998-01-19,9999-01-01
15861,d001,1988-12-19,9999-01-01
15882,d001,1994-11-09,9999-01-01
15898,d001,1996-04-25,9999-01-01
15921,d001,2001-11-22,9999-01-01
15929,d001,1999-09-03,2001-01-31
15932,d001,2002-01-15,9999-01-01
15936,d001,1996-09-01,9999-01-01
15956,d001,1985-05-03,9999-01-01
15974,d001,1996-02-21,9999-01-01
16004,d001,1993-06-12,1996-07-22
16012,d001,1985-08-13,1986-08-04
16013,d001,1995-04-01,9999-01-01
16020,d001,1990-01-04,9999-01-01
16030,d001,1997-03-29,9999-01-01
16042,d001,1989-11-04,1991-06-19
16058,d001,1992-01-07,1995-09-14
16120,d001,1996-03-02,9999-01-01
16129,d001,1986-02-15,9999-01-01
16138,d001,1988-05-05,9999-01-01
16152,d001,1989-01-09,9999-01-01
16173,d001,1998-07-20,9999-01-01
16177,d001,1997-05-09,1999-08-05
16228,d001,1987-07-05,1994-09-10
16238,d001,1995-09-01,9999-01-01
16239,d001,1995-07-28,9999-01-01
16243,d001,1990-05-07,1999-09-11
16258,d001,1987-01-09,9999-01-01
16259,d001,1999-03-30,9999-01-01
16281,d001,1991-07-28,9999-01-01
16333,d001,1995-10-19,9999-01-01
16356,d001,1988-12-05,9999-01-01
16423,d001,1997-02-19,2001-02-24
16428,d001,2000-06-02,9999-01-01
16437,d001,1993-05-31,9999-01-01
16444,d001,1993-10-21,9999-01-01
16481,d001,1995-06-25,9999-01-01
16522,d001,1997-04-26,9999-01-01
16529,d001,1992-05-17,1994-05-03
16585,d001,1992-10-26,1995-10-25
16587,d001,1986-04-28,1992-07-08
16602,d001,1998-04-07,9999-01-01
16606,d001,1990-12-18,9999-01-01
16609,d001,1986-10-10,9999-01-01
16638,d001,1992-03-05,9999-01-01
16659,d001,1987-10-21,1990-12-29
16665,d001,1999-03-04,9999-01-01
16702,d001,1991-04-09,9999-01-01
16704,d001,1989-04-28,9999-01-01
16756,d001,1998-08-16,9999-01-01
16760,d001,1999-12-18,9999-01-01
16761,d001,1986-11-26,9999-01-01
16779,d001,1992-04-08,9999-01-01
16802,d001,1985-07-03,9999-01-01
16848,d001,1997-06-25,9999-01-01
16873,d001,1997-09-11,9999-01-01
16874,d001,1991-05-20,2000-08-02
16878,d001,1994-12-28,9999-01-01
16882,d001,1999-07-24,9999-01-01
16883,d001,1999-08-12,9999-01-01
16917,d001,1996-02-03,9999-01-01
16927,d001,1989-04-18,9999-01-01
16933,d001,1997-08-30,9999-01-01
16954,d001,1986-08-06,9999-01-01
16973,d001,1993-09-16,9999-01-01
16980,d001,1995-05-14,9999-01-01
16990,d001,1987-08-21,1999-06-20
17019,d001,1999-01-17,9999-01-01
17027,d001,1993-02-15,9999-01-01
17030,d001,1999-12-21,9999-01-01
17075,d001,1999-04-24,9999-01-01
17079,d001,1997-08-14,1999-09-06
17131,d001,1992-01-22,9999-01-01
17149,d001,1996-09-03,9999-01-01
17157,d001,1994-01-01,9999-01-01
17194,d001,1991-03-09,1999-02-18
17213,d001,1994-03-20,9999-01-01
17221,d001,1999-03-18,9999-01-01
17243,d001,1996-03-16,9999-01-01
17290,d001,1998-04-19,9999-01-01
17292,d001,1998-06-19,9999-01-01
17321,d001,1992-11-03,9999-01-01
17323,d001,1987-11-27,9999-01-01
17327,d001,1988-06-03,9999-01-01
17351,d001,1993-07-06,2000-02-22
17387,d001,1997-12-31,9999-01-01
17394,d001,1996-05-09,9999-01-01
17472,d001,1990-12-09,9999-01-01
17485,d001,1997-07-12,9999-01-01
17495,d001,1999-02-10,9999-01-01
17524,d001,1995-01-22,9999-01-01
17529,d001,1991-08-15,9999-01-01
17532,d001,1997-02-07,9999-01-01
17577,d001,1997-01-06,9999-01-01
17628,d001,1986-03-20,9999-01-01
17662,d001,1994-09-09,9999-01-01
17668,d001,1985-04-12,9999-01-01
17683,d001,2000-08-25,9999-01-01
17725,d001,1990-02-22,9999-01-01
17798,d001,1986-10-15,9999-01-01
17800,d001,1992-02-28,9999-01-01
17803,d001,1989-07-31,9999-01-01
17833,d001,1997-02-12,9999-01-01
17868,d001,1990-03-26,1992-08-22
17893,d001,1996-07-27,9999-01-01
17930,d001,1988-10-09,1994-08-19
17952,d001,1993-01-12,9999-01-01
17954,d001,1985-05-05,9999-01-01
17981,d001,2000-05-09,9999-01-01
17993,d001,1985-08-21,9999-01-01
18010,d001,1985-12-25,9999-01-01
18015,d001,2000-02-17,9999-01-01
18024,d001,1989-08-06,1991-07-05
18025,d001,1991-12-13,9999-01-01
18031,d001,1990-01-24,9999-01-01
18060,d001,1998-12-24,1999-05-28
18079,d001,1985-02-23,9999-01-01
18090,d001,1998-09-27,9999-01-01
18091,d001,1995-03-13,9999-01-01
18125,d001,1986-12-22,9999-01-01
18169,d001,1999-05-16,9999-01-01
18200,d001,1996-11-14,9999-01-01
18205,d001,1995-04-06,9999-01-01
18214,d001,1999-03-03,9999-01-01
18221,d001,1992-03-23,9999-01-01
18271,d001,1987-07-08,9999-01-01
18275,d001,1985-07-05,9999-01-01
18294,d001,1997-07-07,9999-01-01
18314,d001,2000-04-23,2000-05-09
18338,d001,1995-10-04,9999-01-01
18359,d001,1993-01-10,1997-01-22
18374,d001,1989-01-08,9999-01-01
18383,d001,1997-06-24,9999-01-01
18384,d001,1989-09-29,1999-01-20
18398,d001,1994-09-01,9999-01-01
18426,d001,1989-12-07,1990-06-28
18463,d001,1999-04-07,9999-01-01
18471,d001,1990-02-10,1990-05-04
18474,d001,1989-08-22,9999-01-01
18491,d001,1996-06-27,9999-01-01
18514,d001,1999-07-24,2001-07-20
18516,d001,1989-05-14,1989-08-09
18555,d001,1989-05-01,9999-01-01
18575,d001,1986-11-12,9999-01-01
18588,d001,1986-07-02,9999-01-01
18590,d001,2000-07-13,9999-01-01
18593,d001,1989-11-03,9999-01-01
18638,d001,2001-10-27,9999-01-01
18685,d001,1997-02-13,9999-01-01
18697,d001,1997-06-23,9999-01-01
18704,d001,1997-12-23,9999-01-01
18737,d001,1992-08-21,1999-05-06
18739,d001,1995-01-15,9999-01-01
18776,d001,1995-01-28,9999-01-01
18804,d001,1997-03-02,9999-01-01
18824,d001,1986-06-24,9999-01-01
18848,d001,1995-12-20,1995-12-25
18898,d001,1998-05-10,9999-01-01
18913,d001,1997-05-12,9999-01-01
18941,d001,2000-10-25,9999-01-01
18943,d001,1985-04-18,9999-01-01
18950,d001,1992-08-04,9999-01-01
18956,d001,1990-01-18,9999-01-01
18963,d001,1991-11-20,9999-01-01
18985,d001,1989-03-10,9999-01-01
19013,d001,2001-01-25,9999-01-01
19052,d001,1986-05-19,1989-07-23
19102,d001,1991-01-02,9999-01-01
19119,d001,1993-12-08,9999-01-01
19138,d001,1999-02-05,9999-01-01
19154,d001,1986-03-17,9999-01-01
19171,d001,1985-04-22,9999-01-01
19196,d001,2000-01-28,2000-05-12
19197,d001,1997-03-17,9999-01-01
19200,d001,1990-09-17,9999-01-01
19208,d001,1994-07-26,1998-11-26
19220,d001,1998-08-01,9999-01-01
19224,d001,1987-01-13,2002-05-19
19225,d001,1993-04-11,9999-01-01
19239,d001,2001-05-17,9999-01-01
19378,d001,1995-11-06,9999-01-01
19386,d001,1987-04-01,1993-07-20
19407,d001,1995-02-08,9999-01-01
19414,d001,1988-05-14,1989-01-01
19415,d001,1989-02-01,9999-01-01
19428,d001,1987-05-11,9999-01-01
19438,d001,1988-02-26,9999-01-01
19464,d001,1991-07-24,9999-01-01
19492,d001,1989-12-23,9999-01-01
19507,d001,1989-10-02,9999-01-01
19511,d001,1994-04-08,9999-01-01
19526,d001,1987-08-15,9999-01-01
19563,d001,1997-04-11,9999-01-01
19567,d001,1991-08-30,9999-01-01
19573,d001,1995-04-26,9999-01-01
19584,d001,1986-09-03,1996-08-19
19585,d001,1997-06-24,9999-01-01
19600,d001,1992-12-27,9999-01-01
19605,d001,1992-03-28,9999-01-01
19667,d001,1986-06-13,9999-01-01
19672,d001,1997-06-10,9999-01-01
19687,d001,1996-12-23,9999-01-01
19738,d001,1991-12-22,9999-01-01
19770,d001,2002-06-12,9999-01-01
19784,d001,1989-04-26,9999-01-01
19788,d001,1990-07-01,9999-01-01
19797,d001,1997-05-01,9999-01-01
19843,d001,1998-06-28,9999-01-01
19873,d001,1988-02-16,9999-01-01
19879,d001,1991-07-11,9999-01-01
19886,d001,1992-03-08,9999-01-01
19895,d001,1990-08-30,9999-01-01
19905,d001,1990-12-23,9999-01-01
19922,d001,1990-11-27,9999-01-01
19930,d001,1999-05-22,9999-01-01
19993,d001,1990-11-23,9999-01-01
19995,d001,1996-07-12,2000-05-24
20032,d001,1997-01-06,9999-01-01
20044,d001,1986-11-26,9999-01-01
20061,d001,1991-10-14,9999-01-01
20088,d001,1996-01-10,9999-01-01
20098,d001,2001-02-13,2001-12-18
20100,d001,1986-06-15,9999-01-01
20145,d001,1991-05-18,9999-01-01
20170,d001,1997-05-04,9999-01-01
20175,d001,1993-12-15,1998-01-12
20181,d001,1999-12-24,9999-01-01
20184,d001,1996-10-24,9999-01-01
20209,d001,1993-02-10,9999-01-01
20222,d001,1997-04-03,9999-01-01
20237,d001,1999-10-18,1999-11-01
20252,d001,1999-07-01,9999-01-01
20286,d001,1986-09-29,9999-01-01
20299,d001,1997-05-23,9999-01-01
20303,d001,1991-08-15,9999-01-01
20305,d001,1994-09-08,9999-01-01
20342,d001,2001-10-03,9999-01-01
20345,d001,1986-01-08,9999-01-01
20378,d001,2001-08-26,9999-01-01
20412,d001,1996-03-02,9999-01-01
20453,d001,1989-04-29,9999-01-01
20459,d001,1988-08-30,9999-01-01
20478,d001,1995-06-02,9999-01-01
20485,d001,1999-09-14,9999-01-01
20511,d001,1998-01-12,9999-01-01
20514,d001,1997-03-29,9999-01-01
20519,d001,2001-10-31,9999-01-01
20523,d001,1998-02-02,9999-01-01
20566,d001,1986-10-01,9999-01-01
20573,d001,1992-12-03,9999-01-01
20607,d001,1993-02-18,1995-05-06
20639,d001,1998-02-01,9999-01-01
20661,d001,1997-12-01,9999-01-01
20674,d001,1985-06-07,9999-01-01
20694,d001,1995-03-21,9999-01-01
20721,d001,2000-10-10,9999-01-01
20744,d001,1996-04-06,1996-04-27
20750,d001,1991-03-30,9999-01-01
20751,d001,1990-09-28,9999-01-01
20758,d001,1999-02-01,9999-01-01
20760,d001,1999-04-29,9999-01-01
20771,d001,1995-07-06,9999-01-01
20782,d001,1996-04-17,9999-01-01
20819,d001,1998-07-06,2001-06-17
20823,d001,2000-07-19,9999-01-01
20850,d001,1995-01-08,9999-01-01
20861,d001,1997-06-11,9999-01-01
20882,d001,1988-06-01,9999-01-01
20883,d001,1994-12-26,9999-01-01
20886,d001,1997-02-24,9999-01-01
20889,d001,1995-11-03,9999-01-01
20892,d001,1994-01-18,9999-01-01
20926,d001,1994-08-15,9999-01-01
20938,d001,1986-03-25,1996-10-01
20974,d001,1994-11-23,9999-01-01
20977,d001,1993-11-05,9999-01-01
20984,d001,1998-07-17,9999-01-01
21033,d001,1991-07-09,9999-01-01
21053,d001,1990-12-18,1993-01-13
21060,d001,1987-04-29,9999-01-01
21062,d001,1995-07-11,9999-01-01
21083,d001,1995-01-28,9999-01-01
21087,d001,1999-07-18,9999-01-01
21098,d001,1996-08-16,9999-01-01
21106,d001,1988-10-31,9999-01-01
21117,d001,1985-06-16,9999-01-01
21125,d001,2002-07-12,9999-01-01
21133,d001,1997-08-26,9999-01-01
21152,d001,1999-01-18,9999-01-01
21163,d001,1997-03-14,9999-01-01
21209,d001,2001-01-03,9999-01-01
21237,d001,2000-07-09,2000-09-18
21253,d001,1994-08-23,1995-07-18
21266,d001,1991-06-02,9999-01-01
21275,d001,1997-06-07,9999-01-01
21280,d001,1989-11-23,9999-01-01
21292,d001,1992-06-25,1999-05-26
21297,d001,1991-11-23,9999-01-01
21311,d001,2001-12-12,9999-01-01
21330,d001,1994-04-18,9999-01-01
21367,d001,1992-03-06,1993-08-16
21395,d001,1989-05-21,9999-01-01
21508,d001,2000-10-09,9999-01-01
21515,d001,1998-01-29,9999-01-01
21517,d001,2000-06-17,2001-10-21
21546,d001,2002-03-19,9999-01-01
21551,d001,1988-01-28,2001-08-26
21558,d001,1991-04-30,9999-01-01
21559,d001,1996-09-05,9999-01-01
21560,d001,1985-11-19,2000-05-14
21582,d001,1990-01-05,9999-01-01
21598,d001,1994-12-22,9999-01-01
21610,d001,1985-07-03,1985-10-10
21616,d001,1988-04-14,9999-01-01
21619,d001,1995-11-08,9999-01-01
21624,d001,1986-04-14,9999-01-01
21627,d001,1993-05-01,9999-01-01
21633,d001,1987-03-25,1996-06-24
21634,d001,1991-05-28,9999-01-01
21637,d001,2000-01-14,9999-01-01
21671,d001,1996-11-06,9999-01-01
21684,d001,1986-08-08,1996-02-19
21688,d001,1995-04-24,9999-01-01
21693,d001,1992-07-28,9999-01-01
21710,d001,1999-04-14,9999-01-01
21722,d001,1990-03-12,1993-06-13
21757,d001,1989-08-07,9999-01-01
21765,d001,1999-02-06,9999-01-01
21787,d001,1989-04-27,9999-01-01
21793,d001,1995-11-25,9999-01-01
21794,d001,1997-07-24,9999-01-01
21800,d001,1996-03-08,9999-01-01
21827,d001,1985-07-29,9999-01-01
21851,d001,1985-05-09,9999-01-01
21860,d001,1992-07-25,9999-01-01
21869,d001,1992-07-18,9999-01-01
21878,d001,1986-11-01,9999-01-01
21883,d001,1986-10-12,1993-02-12
21897,d001,1997-02-07,9999-01-01
21912,d001,1986-07-18,9999-01-01
21930,d001,1989-05-16,9999-01-01
21937,d001,1992-09-29,9999-01-01
21960,d001,1987-07-17,2001-08-18
21962,d001,1987-04-17,9999-01-01
21970,d001,2002-03-19,9999-01-01
21983,d001,1987-02-09,9999-01-01
